ordinal_position,oracle_name,canonical_alias,alias_basis,oracle_comment,semantic_guard
1,SK_ID,stock_card_number,APPROVED_TRANSLATION,poradové císlo - je jedinecné (XPK),
2,DRUH,item_kind,APPROVED_TRANSLATION,"Druh,odroda,prívlastok tovaru",
3,C_1,price_1,APPROVED_TRANSLATION,cena 1 ,
4,ZARUKA_OLD,legacy_shelf_life,APPROVED_TRANSLATION,záruka tovaru ,
5,ZLAVA_ID,quantity_discount_id,APPROVED_TRANSLATION,p.c. množstevnej zlavy z tabulky DISCONT ,
6,NAZOV,name,APPROVED_TRANSLATION,názov karty ,
7,POLOHA,warehouse_location,APPROVED_TRANSLATION,urcuje polohu tovaru v sklade ,
8,FARBY,legacy_farby_field,TECHNICAL_NEUTRAL,Poznámky¤Poznámky (),
9,P_JEDNOTKA,primary_unit,APPROVED_TRANSLATION,jednotka tovaru ,
10,DPH,vat_value,APPROVED_TRANSLATION,dph tovaru ,
11,POMENOVANIE,secondary_name,APPROVED_TRANSLATION,meno PLU - druhy nazov (automaticky sa tam dava nazov zo stromovej struktury) ,
12,SMER,direction,TECHNICAL_NEUTRAL, ,
13,DOD_SK,supplier_partner_id,APPROVED_TRANSLATION,id dodávatela - väzba na NID v tabulke OBCH_PARTNERI ,
14,BALENIE,packaging_type_id,APPROVED_TRANSLATION,"druh balenia, z comboboxu sada balení - odkaz na ID_B z tabulky BALENIA_L ",
15,C_3,price_3,APPROVED_TRANSLATION,cena 3 ,
16,INT_KOD,internal_code,APPROVED_TRANSLATION,interný kód ,
17,T_TOVARU,item_type,APPROVED_TRANSLATION,"Typ tovaru: Tovar - 0, Materiál-1, Obal - -1, Výrobky - 2, Služby - 3, Komisný tovar - 4 (UCTY_SK.TYP)",Alias is generic by design; do not reuse the historical Oracle comment value map as current classification.
18,USED,technical_active_flag,APPROVED_TRANSLATION,"ci je používaná, 1  - áno, 0 - nie vyradená ",
19,MENA_SK,currency_id,APPROVED_TRANSLATION,mena karty - väzba ID_M na tabulku MENY ,
20,PREF_CENA,preferred_price_source,APPROVED_TRANSLATION,"aka je preferovaná cena karty, 1-5 urcuje cenu 1 - cenu 5, -2 a -1 nákup, 0 - vážený priemer a -3 žiadna, ciže sa v odbytovom formulári zobrazí cena z partnera ",
21,ODPIS_SK,deduct_from_stock_flag,APPROVED_TRANSLATION,"ci sa daná karta odpisuje zo skladu : 1 - áno, 0 - nie ",
22,C_4,price_4,APPROVED_TRANSLATION,cena 4 ,
23,C_5,price_5,APPROVED_TRANSLATION,cena 5 ,
24,C_M,purchase_price,APPROVED_TRANSLATION,nákup ,
25,C_2,price_2,APPROVED_TRANSLATION,cena 2 ,
26,COL_SADZBA,customs_tariff_id,APPROVED_TRANSLATION,colná sadzba - odkaz na ID z COL_SADZOBNIK (COL_SADZOBNIK.ID),
27,MAKRO_OLD,legacy_macro_flag,APPROVED_TRANSLATION,"ci má karta makro: 1 - áno, 0 -nie ",
28,FLAGS,user_flags,APPROVED_TRANSLATION,priznaky skladovej karty ,
29,DOD_KOD,supplier_code,APPROVED_TRANSLATION,dodávatelský kód  ,
30,C_N,last_purchase_price,APPROVED_TRANSLATION,posledný nákup ,
31,ZALOZENA,created_date,APPROVED_TRANSLATION,"dátum, kedy bola založená karta ",
32,OBJEM,volume,APPROVED_TRANSLATION,objem  ,
33,HMOTNOST,weight,APPROVED_TRANSLATION,hmotnost ,
34,ZLAVY,discount_flags,APPROVED_TRANSLATION,"urcuje, ake zlavy su v zalozke cenotvorba zapnute, toto cislo je sumarom (z dvojkovej sustavy) 1- množstevná zlava, 2 - z partner. cenníka, 4 - z partnerov,  8 - na doklad, ciže ak je tam napr. 11, tak je zapnuté 1 + 2 + 8 ",
35,ZLAVA_MIN_POC,minimum_discount_quantity,TECHNICAL_NEUTRAL, ,
36,TYP_T,item_group_code,APPROVED_TRANSLATION,císlo zaradenia tovaru v rámcie tovarových skupín ,Current code 00 remains unresolved; alias does not confirm lookup meaning.
37,PAR_1,numeric_parameter_1,APPROVED_TRANSLATION,parameter 1 ,
38,PAR_2,numeric_parameter_2,APPROVED_TRANSLATION,parameter 2 ,
39,SKLAD,warehouse_id,APPROVED_TRANSLATION,na akom sklade bola karta založená ,
40,TECHINFO,technical_description,APPROVED_TRANSLATION,technický popis ,
41,ZMENENE,last_change_day_offset,APPROVED_TRANSLATION,do stlpca sa ukladá dátum poslednej zmeny skladovej karty vo formáte dní od 1.1.1993 - ukladanie zmeny robí trigger SK_UPDT ,
42,KALKUL_P,calculation_item_id,APPROVED_TRANSLATION,Kalkulacná položka použitelná pri automatickom úctovaní podla nastavenia úctovného makra ,
43,VYROBCA,manufacturer_reference_id,APPROVED_TRANSLATION,"výrobca danej tovarovej položky, v poli sa nachádza císlo partnera z tabulky OBCH_PARTNERI, nemusí sa zhodovat s dodávatelom ( DOD_SK) (OBCH_PARTNERI.NID)",Reference-style alias only; field is not general manufacturer authority for all use cases.
44,VELKE_BAL,large_pack_quantity,APPROVED_TRANSLATION,Pocet kusov vo velkom baleni ,
45,CEN_SKUPINA,price_group,TECHNICAL_NEUTRAL,,
46,PAR_STR_1,text_parameter_1,APPROVED_TRANSLATION,Textový volitelný parameter 1 ,
47,PAR_STR_2,text_parameter_2,APPROVED_TRANSLATION,Textový volitelný parameter 2 ,
48,C_EKV,c_ekv,TECHNICAL_NEUTRAL,,
49,DATUM_MINMAX,minmax_date,TECHNICAL_NEUTRAL,,
50,RID_OBJ,object_rid,APPROVED_TRANSLATION,RID skladovej karty (nové) ,
51,SKRATKA,short_code,APPROVED_TRANSLATION,,
52,RID,rid,APPROVED_TRANSLATION,,
53,ID,stock_card_id,APPROVED_TRANSLATION,,
54,ID_TREE,tree_node_id,APPROVED_TRANSLATION,,
55,FLAGS_B,app_flags,APPROVED_TRANSLATION,,
56,POZN,note,APPROVED_TRANSLATION,,
57,I_STAMP,insert_stamp,APPROVED_TRANSLATION,,
58,U_STAMP,update_stamp,APPROVED_TRANSLATION,,
59,S_STAMP,remove_stamp,APPROVED_TRANSLATION,,
60,DATUM,technical_date,APPROVED_TRANSLATION,,Neutral technical alias; do not reinterpret as creation date.
61,FLAGS_S,state_flags,APPROVED_TRANSLATION,,
62,KOD_ID_OBALU,packaging_stock_card_id,APPROVED_TRANSLATION,,
63,PALETA_BAL,pallet_pack_quantity,APPROVED_TRANSLATION,,
64,UROVEN_DPH,vat_level,APPROVED_TRANSLATION,,
65,DOBA_NAK,purchase_lead_time,APPROVED_TRANSLATION,,
66,ID_C_KOEF_L_OLD,legacy_cost_coeff_list_id,APPROVED_TRANSLATION,,
67,ZLOMKY,fractions_value,TECHNICAL_NEUTRAL,,
68,ZLOMKY_SKALA,fractions_scale,TECHNICAL_NEUTRAL,,
69,MODIF_U,update_modifier,TECHNICAL_NEUTRAL,,
70,MODIF_I,insert_modifier,TECHNICAL_NEUTRAL,,
71,KRAJINA_P,country_p_id,TECHNICAL_NEUTRAL,,Neutral technical alias preserves the P suffix; exact contextual business label is not upgraded by alias.
72,MNOZSTVO_DMJ,dmj_quantity,TECHNICAL_NEUTRAL,,
73,DOD_BAL,supplier_pack_quantity,APPROVED_TRANSLATION,,
74,VRSTVA_BAL,layer_pack_quantity,APPROVED_TRANSLATION,,
75,NAHRADA,replacement_group_id,APPROVED_TRANSLATION,,Technical self-anchor grouping confirmed; alias does not assert physical or commercial substitutability.
76,ID_PROD_MAN,product_manager_user_id,APPROVED_TRANSLATION,,
77,STAT,state_code,TECHNICAL_NEUTRAL,,
78,SKP,skp_code,TECHNICAL_NEUTRAL,,
79,SIRKA,width,APPROVED_TRANSLATION,,
80,VYSKA,height,APPROVED_TRANSLATION,,
81,HLBKA,depth,APPROVED_TRANSLATION,,
82,SLA_STANDARD,sla_standard,TECHNICAL_NEUTRAL,,
83,STAV,status_code,APPROVED_TRANSLATION,,
84,URL,url,APPROVED_TRANSLATION,,
85,ZARUKA,shelf_life_value,APPROVED_TRANSLATION,,
86,ZARUKA_OBD,shelf_life_period,APPROVED_TRANSLATION,,
87,C_X,c_x,TECHNICAL_NEUTRAL,,
88,KIR_1,kir_1,TECHNICAL_NEUTRAL,,
89,KIR_2,kir_2,TECHNICAL_NEUTRAL,,
90,KIR_3,kir_3,TECHNICAL_NEUTRAL,,
91,KIR_4,kir_4,TECHNICAL_NEUTRAL,,
92,KIR_5,kir_5,TECHNICAL_NEUTRAL,,
93,C_STAMP,c_stamp,TECHNICAL_NEUTRAL,,
94,N_STAMP,new_item_stamp,APPROVED_TRANSLATION,,Related to the Novinka process only; not creation date or universal lifecycle timestamp.
95,TYP_POLOHY,location_type_code,APPROVED_TRANSLATION,,
96,NAHRADZA_KARTU,replaced_stock_card_id,APPROVED_TRANSLATION,,
97,HMOTNOST_NETTO,net_weight,APPROVED_TRANSLATION,,
98,MNOZSTVO_ALKOHOLU,alcohol_quantity,APPROVED_TRANSLATION,,
99,FLAGS_POVOL,permission_flags,TECHNICAL_NEUTRAL,,
100,DOD_SK_N,supplier_partner_id_n,TECHNICAL_NEUTRAL,,
101,OBJEM_NETTO,net_volume,APPROVED_TRANSLATION,,
102,MNOZSTVO_CUKRU,sugar_quantity,APPROVED_TRANSLATION,,
103,BOBI_KOD,bobi_code,TECHNICAL_NEUTRAL,,
104,M_JEDNOTKA,measurement_unit,TECHNICAL_NEUTRAL,,Generic measurement-unit alias only; no hard unit semantics are added.
105,MNOZSTVO_MJ,measurement_unit_quantity,APPROVED_TRANSLATION,,
106,SPOSOB_UP,method_up,TECHNICAL_NEUTRAL,,Neutral technical alias; UP expansion is not asserted.
107,FULLTEXT,full_text,APPROVED_TRANSLATION,,
108,C_FIX,fixed_value,TECHNICAL_NEUTRAL,,Neutral technical alias; fixed_value does not assert a pricing formula.
109,XML_DATA,xml_data,APPROVED_TRANSLATION,,
110,PORADIE_PREDAJNOSTI,sales_rank,APPROVED_TRANSLATION,,
111,KATEGORIA_PREDAJNOSTI,sales_category,APPROVED_TRANSLATION,,
112,MAX_POCET_OBJ,max_customer_order_quantity,APPROVED_TRANSLATION,Max. množstvo odb. obj.¤Max množstvo odberateľskej objednávky (),
113,SKALA,scale,TECHNICAL_NEUTRAL,,
114,MANUAL,manual_on_document,APPROVED_TRANSLATION,Manuál¤Manuál na doklade (),
115,HLAVNA_TP,main_sales_variant_id,APPROVED_TRANSLATION,Predajný variant ku¤Predajný variant ku (SKLAD_KARTA.id),
116,TYP_PS,sales_sector_type_id,APPROVED_TRANSLATION,Typ PS¤Typ predajného sektoru (TYPY_PRED_SEKTOROV.ID),
117,DLZKA_PS,sales_sector_length,APPROVED_TRANSLATION,Dĺžka PS¤Dĺžka predajného sektoru (),
118,POCET_VK_PS,sales_sector_visible_count,APPROVED_TRANSLATION,Počet vid. kusov v PS¤Počet viditeľných kusov v predajnom sektore (),
119,POLICA_PS,sales_sector_shelf_number,APPROVED_TRANSLATION,Číslo police¤Číslo police v predajnom sektore (),
120,MIN_ZASOBA,minimum_stock,APPROVED_TRANSLATION,Min. zásoba¤Minimálna zásoba (),
121,ART_SKUP,article_group_id,APPROVED_TRANSLATION,Artiklová skupina¤Artiklová skupina (ART_SKUPINY.id),
122,OBCH_BONUS,sales_bonus,APPROVED_TRANSLATION,Obch. bonus¤Obchodný bonus (),
123,POCET_OBALOV,package_count_per_item,APPROVED_TRANSLATION,Počet obalov¤Počet obalov naviazaných na jeden tovar (),
124,MVM_BAL,mvm_pack,TECHNICAL_NEUTRAL,,
125,OBCH_ZNACKA,brand_id,APPROVED_TRANSLATION,Obchodná značka¤Obchodná značka (OBCHODNE_ZNACKY.ID),
126,NAZOV_ETIK,label_name,APPROVED_TRANSLATION,Názov etikety¤Názov etikety,
127,VYSKA_VRS,layer_height,APPROVED_TRANSLATION,Výška vrstvy¤Výška vrstvy (),
128,PRINTER,printer,TECHNICAL_NEUTRAL,,
129,MNM,minimum_purchase_quantity,APPROVED_TRANSLATION,Minimálna nákupné množstvo¤Minimálna nákupné množstvo (),
130,MAKRO,stock_card_macro_type_id,APPROVED_TRANSLATION,Makro¤Typ makra skladovej karty (SK_TYPY_MAKIER.ID),
131,PORADIE,display_order,APPROVED_TRANSLATION,Poradie zobrazenia¤Poradie zobrazenia (),
132,OBJ_METODA,order_method,TECHNICAL_NEUTRAL,,
133,BITMASK_RZ,allowed_line_discount_bitmask,APPROVED_TRANSLATION,Bit. maska povol. RZ¤Bitová maska pre povolené riadkové zľavy (),
134,ZASTUPCA,buyer_representative_user_id,APPROVED_TRANSLATION,Zástupca¤Zástupca nákupcu (B_USERS.ID),
135,ALERGENY,legacy_allergens,APPROVED_TRANSLATION,,Legacy/current-unpopulated root field; typed notes are current allergen authority.
136,TYP_REG_BLOKU,rack_block_type_id,APPROVED_TRANSLATION,Typ regálového bloku¤Typ regálového bloku (TYPY_REG_BLOKOV.ID),
137,OBJ_METODA_MO,retail_order_method,TECHNICAL_NEUTRAL,,
138,C_6,price_6,APPROVED_TRANSLATION,,
139,C_7,price_7,APPROVED_TRANSLATION,,
140,TYP_CENOVKY,price_label_type_id,APPROVED_TRANSLATION,Typ cenovky¤Typ cenovky (TYPY_ETIKIET.ID),
141,MTM,minimum_transfer_quantity,APPROVED_TRANSLATION,Min. transférové množstvo¤Minimálne transférové množstvo (),
142,KIR_6,kir_6,TECHNICAL_NEUTRAL,,
143,KIR_7,kir_7,TECHNICAL_NEUTRAL,,
144,DOPL_INFO,additional_info,APPROVED_TRANSLATION,,
145,HMOTNOST_TOL,gross_weight_tolerance,APPROVED_TRANSLATION,Tolerancia hmot.(b)¤Tolerancia hmotnosti (brutto),
146,TEP_SK_OD,monitoring_temperature_from,APPROVED_TRANSLATION,Teplota sled. od¤Teplota sledovania od,
147,TEP_SK_DO,monitoring_temperature_to,APPROVED_TRANSLATION,Teplota sled. do¤Teplota sledovania do,
148,ZARUKA_OTV,shelf_life_after_opening,APPROVED_TRANSLATION,Záruka po otvorení¤Doba spotreby po otvorení,
149,ZARUKA_OBD_OTV,shelf_life_after_opening_mult,APPROVED_TRANSLATION,Násobok záruky po otvorení¤Doba spotreby po otvorení (násobok),
150,MAX_POCET_PARAG,max_receipt_quantity,APPROVED_TRANSLATION,Max.mn. na parag.¤Maximálne množstvo na paragóne,
151,FLAGS_A,legacy_allergen_flags,APPROVED_TRANSLATION,,Legacy/current-unpopulated allergen mechanism; typed notes are current allergen authority.
152,DAVKA_NUT_H,nutrition_batch_h,TECHNICAL_NEUTRAL,,Neutral nutrition-related technical alias; exact referenced object/role is not upgraded by alias.
153,HMOTNOST_SCO,sco_weight,TECHNICAL_NEUTRAL,,Neutral technical alias; SCO expansion is not asserted.
154,OBJ_JEDNOTKA,order_unit,APPROVED_TRANSLATION,Obj.jednotka¤Objednávacia jednotka váženého tovaru (X-1734),
